time,latitude,longitude
2021-07-15 00:08:49+00:00,37.599302,-121.900184
2021-07-15 00:08:50+00:00,37.599305,-121.900197
2021-07-15 00:08:51+00:00,37.599307,-121.90021
2021-07-15 00:08:52+00:00,37.59931,-121.900225
2021-07-15 00:08:53+00:00,37.59931,-121.900239
2021-07-15 00:08:54+00:00,37.599313,-121.900256
2021-07-15 00:08:55+00:00,37.599317,-121.90027
2021-07-15 00:08:56+00:00,37.599319,-121.900283
2021-07-15 00:08:57+00:00,37.599321,-121.900297
2021-07-15 00:08:58+00:00,37.599325,-121.90031
2021-07-15 00:08:59+00:00,37.59933,-121.900324
2021-07-15 00:09:00+00:00,37.599335,-121.900339
2021-07-15 00:09:01+00:00,37.59934,-121.900354
2021-07-15 00:09:02+00:00,37.599341,-121.900369
